
,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,
02 Albacete,385.727,386.464,388.270,388.167,388.786,390.032,392.118,394.580,396.987,400.007,402.837,402.318,401.682,400.891,397.493,392.110,387.658,384.640,379.448,376.556,371.787,367.283,363.263,361.021,358.597,"",359.010,
02001 Abengibre,739,748,761,790,757,748,761,782,775,819,888,902,932,930,940,965,960,977,977,959,972,987,976,996,1.007,"",1.019,
02002 Alatoz,496,496,506,519,529,555,582,610,580,572,599,604,599,591,590,585,592,603,603,625,633,648,661,684,675,"",683,
02003 Albacete,172.357,172.722,174.336,173.329,173.050,172.816,172.426,172.121,172.487,172.693,172.472,171.390,170.475,169.716,166.909,164.771,161.508,159.518,156.466,155.142,152.155,149.507,149.667,147.527,145.454,"",143.799,
02004 Albatana,670,681,679,692,693,698,714,744,748,774,782,794,812,810,817,833,849,856,854,852,859,875,872,870,874,"",907,
02005 Alborea,663,670,664,658,650,697,710,754,778,825,849,848,883,870,878,820,797,827,793,792,801,808,814,813,809,"",798,
02006 Alcadozo,634,632,647,654,655,662,688,699,684,708,723,734,737,727,736,761,756,774,772,751,754,771,776,775,779,"",809,
02007 Alcala del J�car,1.148,1.153,1.194,1.170,1.199,1.202,1.217,1.250,1.307,1.314,1.346,1.350,1.381,1.361,1.376,1.386,1.386,1.404,1.410,1.427,1.442,1.480,1.507,1.525,1.512,"",1.563,
02008 Alcaraz,1.307,1.310,1.324,1.351,1.405,1.414,1.463,1.529,1.533,1.551,1.597,1.608,1.642,1.664,1.698,1.727,1.722,1.766,1.735,1.697,1.734,1.740,1.738,1.751,1.730,"",1.799,
02009 Almansa,24.224,24.388,24.511,24.419,24.537,24.566,24.800,24.837,25.024,25.279,25.374,25.432,25.654,25.727,25.591,25.272,25.075,24.974,24.689,24.454,24.210,23.782,23.775,23.612,23.658,"",23.507,
02010 Alpera,2.245,2.285,2.261,2.265,2.275,2.290,2.289,2.326,2.358,2.406,2.417,2.438,2.414,2.409,2.384,2.382,2.392,2.389,2.335,2.337,2.372,2.360,2.349,2.334,2.324,"",2.353,
02011 Ayna,582,582,591,616,638,672,690,717,719,751,794,806,808,827,863,890,877,913,943,945,905,936,980,1.007,1.003,"",1.086,
02012 Balazote,2.388,2.363,2.327,2.334,2.360,2.350,2.346,2.378,2.417,2.401,2.447,2.461,2.448,2.453,2.450,2.392,2.406,2.576,2.571,2.485,2.412,2.342,2.273,2.254,2.223,"",2.203,
02014 Ballestero, El,427,413,396,405,409,414,427,442,459,462,465,473,479,481,488,499,507,527,528,545,563,570,565,573,573,"",595,
02013 Balsa de Ves,126,129,131,158,150,136,155,172,176,179,191,213,209,226,222,222,227,226,234,224,226,225,259,283,261,"",270,
02015 Barrax,1.831,1.808,1.799,1.833,1.864,1.872,1.903,1.915,1.920,1.934,2.027,2.063,2.053,2.049,2.033,2.023,1.925,1.978,1.986,1.979,1.941,1.948,1.938,1.952,1.952,"",1.979,
02016 Bienservida,574,595,579,603,610,615,634,664,668,696,712,729,743,742,763,766,777,786,814,835,858,895,912,907,906,"",952,
02017 Bogarra,756,768,807,842,873,908,920,947,955,970,996,1.009,1.015,1.021,1.043,1.056,1.080,1.121,1.164,1.192,1.235,1.269,1.296,1.347,1.369,"",1.448,
02018 Bonete,1.006,1.031,1.029,1.049,1.057,1.103,1.123,1.127,1.157,1.209,1.225,1.220,1.217,1.231,1.245,1.270,1.289,1.270,1.242,1.232,1.205,1.227,1.217,1.222,1.240,"",1.245,
02019 Bonillo, El,2.698,2.718,2.723,2.779,2.837,2.852,2.889,2.915,2.956,2.968,3.012,3.033,3.052,3.069,3.085,3.131,3.164,3.174,3.193,3.226,3.280,3.283,3.260,3.278,3.310,"",3.333,
02020 Carcel�n,483,496,495,501,508,521,518,546,573,600,639,668,645,643,639,663,639,651,656,637,652,668,673,664,662,"",676,
02021 Casas de Juan N��ez,1.356,1.361,1.326,1.307,1.275,1.291,1.318,1.382,1.372,1.423,1.441,1.461,1.410,1.420,1.385,1.372,1.358,1.340,1.304,1.287,1.256,1.254,1.275,1.267,1.279,"",1.322,
02022 Casas de L�zaro,321,328,348,363,344,358,380,403,386,406,446,475,453,451,472,505,442,427,422,437,441,431,445,439,451,"",455,
02023 Casas de Ves,561,564,563,572,588,628,654,666,689,701,724,748,787,774,789,799,800,825,812,821,870,875,891,909,912,"",962,
