Municipios;Sexo;Periodo;Total
03 Alicante/Alacant;Total;2022;1.901.594
03 Alicante/Alacant;Total;2021;1.881.762
03 Alicante/Alacant;Total;2020;1.879.888
03 Alicante/Alacant;Total;2019;1.858.683
03 Alicante/Alacant;Total;2018;1.838.819
03 Alicante/Alacant;Total;2017;1.825.332
03 Alicante/Alacant;Total;2016;1.836.459
03 Alicante/Alacant;Total;2015;1.855.047
03 Alicante/Alacant;Total;2014;1.868.438
03 Alicante/Alacant;Total;2013;1.945.642
03 Alicante/Alacant;Total;2012;1.943.910
03 Alicante/Alacant;Total;2011;1.934.127
03 Alicante/Alacant;Total;2010;1.926.285
03 Alicante/Alacant;Total;2009;1.917.012
03 Alicante/Alacant;Total;2008;1.891.477
03 Alicante/Alacant;Total;2007;1.825.264
03 Alicante/Alacant;Total;2006;1.783.555
03 Alicante/Alacant;Total;2005;1.732.389
03 Alicante/Alacant;Total;2004;1.657.040
03 Alicante/Alacant;Total;2003;1.632.349
03 Alicante/Alacant;Total;2002;1.557.968
03 Alicante/Alacant;Total;2001;1.490.265
03 Alicante/Alacant;Total;2000;1.445.144
03 Alicante/Alacant;Total;1999;1.410.946
03 Alicante/Alacant;Total;1998;1.388.933
03 Alicante/Alacant;Total;1997;""
03 Alicante/Alacant;Total;1996;1.379.762
03002 Agost;Total;2022;4.948
03002 Agost;Total;2021;4.906
03002 Agost;Total;2020;4.794
03002 Agost;Total;2019;4.758
03002 Agost;Total;2018;4.713
03002 Agost;Total;2017;4.703
03002 Agost;Total;2016;4.729
03002 Agost;Total;2015;4.707
03002 Agost;Total;2014;4.752
03002 Agost;Total;2013;4.787
03002 Agost;Total;2012;4.791
03002 Agost;Total;2011;4.831
03002 Agost;Total;2010;4.818
03002 Agost;Total;2009;4.810
03002 Agost;Total;2008;4.813
03002 Agost;Total;2007;4.766
03002 Agost;Total;2006;4.723
03002 Agost;Total;2005;4.601
03002 Agost;Total;2004;4.517
03002 Agost;Total;2003;4.451
03002 Agost;Total;2002;4.284
03002 Agost;Total;2001;4.146
03002 Agost;Total;2000;4.095
03002 Agost;Total;1999;4.053
03002 Agost;Total;1998;4.023
03002 Agost;Total;1997;""
03002 Agost;Total;1996;4.017
03003 Agres;Total;2022;589
03003 Agres;Total;2021;580
03003 Agres;Total;2020;564
03003 Agres;Total;2019;565
03003 Agres;Total;2018;551
03003 Agres;Total;2017;549
03003 Agres;Total;2016;565
03003 Agres;Total;2015;574
03003 Agres;Total;2014;583
03003 Agres;Total;2013;565
03003 Agres;Total;2012;598
03003 Agres;Total;2011;610
03003 Agres;Total;2010;599
03003 Agres;Total;2009;619
03003 Agres;Total;2008;627
03003 Agres;Total;2007;623
03003 Agres;Total;2006;614
03003 Agres;Total;2005;653
03003 Agres;Total;2004;671
03003 Agres;Total;2003;622
03003 Agres;Total;2002;623
03003 Agres;Total;2001;632
03003 Agres;Total;2000;639
03003 Agres;Total;1999;649
03003 Agres;Total;1998;651
03003 Agres;Total;1997;""
03003 Agres;Total;1996;656
03004 Aigües;Total;2022;1.085
03004 Aigües;Total;2021;1.049
03004 Aigües;Total;2020;986
03004 Aigües;Total;2019;963
03004 Aigües;Total;2018;936
03004 Aigües;Total;2017;913
03004 Aigües;Total;2016;921
03004 Aigües;Total;2015;937
03004 Aigües;Total;2014;984
03004 Aigües;Total;2013;1.073
03004 Aigües;Total;2012;1.105
03004 Aigües;Total;2011;1.118
03004 Aigües;Total;2010;1.084
03004 Aigües;Total;2009;1.064
03004 Aigües;Total;2008;1.047
03004 Aigües;Total;2007;951
03004 Aigües;Total;2006;827
03004 Aigües;Total;2005;801
03004 Aigües;Total;2004;737
03004 Aigües;Total;2003;637
03004 Aigües;Total;2002;624
03004 Aigües;Total;2001;592
03004 Aigües;Total;2000;581
03004 Aigües;Total;1999;579
03004 Aigües;Total;1998;558
03004 Aigües;Total;1997;""
03004 Aigües;Total;1996;544
03005 Albatera;Total;2022;12.864
03005 Albatera;Total;2021;12.714
03005 Albatera;Total;2020;12.474
03005 Albatera;Total;2019;12.279
03005 Albatera;Total;2018;12.042
03005 Albatera;Total;2017;11.850
03005 Albatera;Total;2016;11.756
03005 Albatera;Total;2015;11.780
03005 Albatera;Total;2014;11.767
03005 Albatera;Total;2013;11.983
03005 Albatera;Total;2012;11.936
03005 Albatera;Total;2011;11.901
03005 Albatera;Total;2010;11.821
03005 Albatera;Total;2009;11.745
03005 Albatera;Total;2008;11.656
